x,y,psi,kappa,s
9.196462997718522558e+01,-9.782740925388790920e-01,-1.064480276922244451e-02,0.000000000000000000e+00,9.196983490906332293e+01
9.246101685532271119e+01,-9.835582325405746174e-01,-1.064480276922244451e-02,0.000000000000000000e+00,9.246624991178043729e+01
9.295740373346018259e+01,-9.888423725422699206e-01,-1.064480276922244451e-02,0.000000000000000000e+00,9.296266491449753744e+01
9.345379061159768241e+01,-9.941265125439654460e-01,-1.064480276922244451e-02,0.000000000000000000e+00,9.345907991721466601e+01
9.395017748973516802e+01,-9.994106525456609713e-01,-1.064480276922244451e-02,0.000000000000000000e+00,9.395549491993178037e+01
9.444656436787265363e+01,-1.004694792547356386e+00,-1.064480276922244451e-02,0.000000000000000000e+00,9.445190992264889474e+01
9.494295124601012503e+01,-1.009978932549051578e+00,-1.064480276922244451e-02,0.000000000000000000e+00,9.494832492536599489e+01
9.546230795364310495e+01,-1.004716616454943923e+00,3.090885613620814737e-02,8.000000000000000167e-02,9.546770829219057930e+01
9.598099773190867268e+01,-9.778838816546995272e-01,7.246251504163873924e-02,8.000000000000000167e-02,9.598709165901516371e+01
9.649812508462576943e+01,-9.295270537412816392e-01,1.140161739470693381e-01,8.000000000000000167e-02,9.650647502583974813e+01
9.701279721307561488e+01,-8.597296187530454326e-01,1.555698328524999230e-01,8.000000000000000167e-02,9.702585839266431833e+01
9.752412555738133904e+01,-7.686120790385984058e-01,1.971234917579305079e-01,8.000000000000000167e-02,9.754524175948890274e+01
9.803122733056932248e+01,-6.563317452145347453e-01,2.386771506633611206e-01,8.000000000000000167e-02,9.806462512631348716e+01
9.853322704266402354e+01,-5.230824645752572000e-01,2.802308095687916500e-01,8.000000000000000167e-02,9.858400849313807157e+01
9.902925801218468393e+01,-3.690942864237142795e-01,3.217844684742222627e-01,8.000000000000000167e-02,9.910339185996265599e+01
9.951846386243468601e+01,-1.946330649009384017e-01,3.633381273796528754e-01,8.000000000000000167e-02,9.962277522678724040e+01
9.999999999999998579e+01,1.387778780781445676e-15,4.048917862850834881e-01,8.000000000000000167e-02,1.001421585936118248e+02
1.004608768880496541e+02,2.086570730530243334e-01,4.453673769776467228e-01,8.000000000000000167e-02,1.006480689414733831e+02
1.009129330939923790e+02,4.357924220017198036e-01,4.858429676702100686e-01,8.000000000000000167e-02,1.011539792893349130e+02
1.013554281272538731e+02,6.810339878348781184e-01,5.263185583627734143e-01,8.000000000000000167e-02,1.016598896371964571e+02
1.017876371589367039e+02,9.439800526564803285e-01,5.667941490553367601e-01,8.000000000000000167e-02,1.021657999850579870e+02
1.022088522091262490e+02,1.224199897719616015e+00,6.072697397478999948e-01,8.000000000000000167e-02,1.026717103329195311e+02
1.026183833065969395e+02,1.521234508965232823e+00,6.477453304404633405e-01,8.000000000000000167e-02,1.031776206807810752e+02
1.030155596190195553e+02,1.834597328910023251e+00,6.882209211330265752e-01,8.000000000000000167e-02,1.036835310286426051e+02
1.033997305518179672e+02,2.163775053651810332e+00,7.286965118255899210e-01,8.000000000000000167e-02,1.041894413765041492e+02
1.037702668138754376e+02,2.508228473686894944e+00,7.691721025181532667e-01,8.000000000000000167e-02,1.046953517243656933e+02
1.041277765758416081e+02,2.854320547379744610e+00,7.691721025181532667e-01,0.000000000000000000e+00,1.051929388558051244e+02
1.044852863378077785e+02,3.200412621072593833e+00,7.691721025181532667e-01,0.000000000000000000e+00,1.056905259872445555e+02
1.048427960997739490e+02,3.546504694765443499e+00,7.691721025181532667e-01,0.000000000000000000e+00,1.061881131186839866e+02
1.052003058617401337e+02,3.892596768458293166e+00,7.691721025181532667e-01,0.000000000000000000e+00,1.066857002501234319e+02
1.055578156237063041e+02,4.238688842151142389e+00,7.691721025181532667e-01,0.000000000000000000e+00,1.071832873815628631e+02
1.059153253856724746e+02,4.584780915843992055e+00,7.691721025181532667e-01,0.000000000000000000e+00,1.076808745130022942e+02
1.062728351476386592e+02,4.930872989536841722e+00,7.691721025181532667e-01,0.000000000000000000e+00,1.081784616444417395e+02
1.066303449096048297e+02,5.276965063229691388e+00,7.691721025181532667e-01,0.000000000000000000e+00,1.086760487758811706e+02
1.069878546715710002e+02,5.623057136922541055e+00,7.691721025181532667e-01,0.000000000000000000e+00,1.091736359073206017e+02
1.073453644335371706e+02,5.969149210615389833e+00,7.691721025181532667e-01,0.000000000000000000e+00,1.096712230387600329e+02
1.077028741955033411e+02,6.315241284308240388e+00,7.691721025181532667e-01,0.000000000000000000e+00,1.101688101701994640e+02
1.080603839574695257e+02,6.661333358001090055e+00,7.691721025181532667e-01,0.000000000000000000e+00,1.106663973016389093e+02
1.084178937194356962e+02,7.007425431693937945e+00,7.691721025181532667e-01,0.000000000000000000e+00,1.111639844330783404e+02
